hour,inventory_time,inventory_tx,cm inv,unique_tx,unique_fp,unique_fn,tp_inv,tn_inv,fp_inv,fn_inv,fn_index_inv,fn_expiry_inv,FPR inv,FNR inv,Accuracy % inv,Reprocess % inv,total_tx,cm total,entry_tx,cm entry,added_tx,tp_entry,tn_entry,fp_entry,fn_entry,fn_index_entry,fn_expiry_entry,FPR Entry,FNR Entry,Accuracy % Entry,Reprocess % Entry,exit_tx,cm exit,exited_tx,block_tx,non_block,tp_exit,tn_exit,fp_exit,fn_exit,fn_index_exit,fn_expiry_exit,fn_index,fn_expiry,FPR Exit,FNR Exit,Accuracy % Exit,Reprocess % Exit,FPR,FNR,Accuracy %,Reprocess %,current_mempool_tx,shadow_mempool.size(),shadow size in bytes
1,3600,1457,1457,1029,0,0,746,711,0,0,0,0,0,0,100,0,266672,264129,144034,144034,143983,51,143983,0,0,0,0,0,0,100,0,121181,120095,120095,0,0,120095,1086,0,0,0,0,0,0,0,0,100,0,0,0,100,0,23888,23888,4.03838e+06
2,7200,3186,1729,1565,0,0,1422,307,0,0,0,0,0,0,100,0,154029,415185,82258,226292,82179,79,82179,0,0,0,0,0,0,100,0,70042,68798,68798,0,0,68798,1244,0,0,0,0,0,0,0,0,100,0,0,0,100,0,37269,37269,6.39586e+06
3,10800,5071,1885,1625,0,0,1499,386,0,0,0,0,0,0,100,0,134033,545964,71198,297490,71166,32,71166,0,0,0,0,0,0,100,0,60950,59581,59581,0,0,59581,1369,0,0,0,0,0,0,0,0,100,0,0,0,100,0,48854,48854,8.4669e+06
4,14400,6715,1644,1486,0,0,1357,287,0,0,0,0,0,0,100,0,140049,683192,74752,372242,74708,44,74708,0,0,0,0,0,0,100,0,63653,62476,62476,0,0,62476,1177,0,0,0,0,0,0,0,0,100,0,0,0,100,0,61086,61086,1.06815e+07
5,18000,9135,2420,2212,0,0,1698,722,0,0,0,0,0,0,100,0,125693,804705,66091,438333,66053,38,66053,0,0,0,0,0,0,100,0,57182,55422,55422,0,0,55422,1760,0,0,0,0,0,0,0,0,100,0,0,0,100,0,71717,71717,1.26737e+07
6,21600,11318,2183,1898,0,0,1792,391,0,0,0,0,0,0,100,0,126491,927472,66753,505086,66695,58,66695,0,0,0,0,0,0,100,0,57555,56014,56014,0,0,56014,1541,0,0,0,0,0,0,0,0,100,0,0,0,100,0,82398,82398,1.46549e+07
7,25200,14044,2726,2440,0,0,1911,815,0,0,0,0,0,0,100,0,124630,1047404,65300,570386,65248,52,65248,0,0,0,0,0,0,100,0,56604,54632,54632,0,0,54632,1972,0,0,0,0,0,0,0,0,100,0,0,0,100,0,93014,93014,1.66919e+07
8,28800,17726,3682,3058,0,0,2420,1262,0,0,0,0,0,0,100,0,136076,1177102,70491,640877,70419,72,70419,0,0,0,0,0,0,100,0,61903,59207,59207,0,0,59207,2696,0,0,0,0,0,0,0,0,100,0,0,0,100,0,104226,104226,1.88809e+07
9,32400,20536,2810,2448,0,0,2030,780,0,0,0,0,0,0,100,0,109572,1281808,56863,697740,56814,48,56814,1,0,0,0,1.75861e-05,0,99.9982,0,49899,47843,47843,0,0,47843,2056,0,0,0,0,0,0,0,0,100,0,9.30094e-06,0,99.9644,0,113197,113198,2.04883e+07
10,36000,23585,3049,2633,0,0,2177,872,0,0,0,0,0,0,100,0,104413,1380941,53949,751689,53902,47,53902,0,0,0,0,0,0,100,0,47415,45184,45184,0,0,45184,2231,0,0,0,0,0,0,0,0,100,0,0,0,100,0,121915,121916,2.21e+07
11,39600,27159,3574,3186,0,0,2919,655,0,0,0,0,0,0,100,0,105610,1480415,54028,805717,53860,167,53860,1,0,0,0,1.85089e-05,0,99.9981,0,48008,45446,45446,0,0,45446,2562,0,0,0,0,0,0,0,0,100,0,9.70422e-06,0,99.972,0,130329,130331,2.37119e+07
12,43200,32063,4904,4313,0,0,3929,975,0,0,0,0,0,0,100,0,99112,1571141,49131,854848,49017,113,49017,1,0,0,0,2.03537e-05,0,99.998,0,45077,41595,41595,0,0,41595,3482,0,0,0,0,0,0,0,0,100,0,1.0457e-05,0,99.9796,0,137751,137754,2.50936e+07
13,46800,36199,4136,3615,0,0,3393,743,0,0,0,0,0,0,100,0,86612,1650644,43159,898007,43115,43,43115,1,0,0,0,2.31701e-05,0,99.9977,0,39317,36344,36344,0,0,36344,2973,0,0,0,0,0,0,0,0,100,0,1.19561e-05,0,99.9758,0,144522,144526,2.63615e+07
